Date,Stock,liabilities,equity,total_assets,current_assets,current_liabilities,total_revenue,net_income,dividend,shares_outstanding,price
31-03-2010,Stock 1,297.9695614,747.3704865,1045.340048,584.8593777,667.0902343,688.1537975,-151.3696103,0,1078733,114.4437257
30-04-2010,Stock 1,767.0549731,473.1272643,1240.182237,812.9370672,971.1634911,888.4247092,124.847315,36.67787098,1002485,113.8925397
31-05-2010,Stock 1,318.6259383,644.2616406,962.8875788,634.2408501,520.0711805,208.1450977,96.50807937,24.10236532,1057834,114.3151777
30-06-2010,Stock 1,378.4964128,805.5519712,1184.048384,764.1593737,618.2658573,580.3620536,-7.530788325,0,1006836,115.7430354
30-07-2010,Stock 1,768.5920733,969.7274847,1738.319558,605.5042382,557.9438256,133.5903656,-1.146997746,0,1042863,116.2541757
31-08-2010,Stock 1,125.2296608,206.8852648,332.1149256,244.1274843,254.9743039,498.5352818,37.82439853,7.660008869,1070700,116.2827086
30-09-2010,Stock 1,866.37554,592.0213733,1458.396913,952.4476408,804.6361503,580.0996222,65.25433194,16.67593885,1076983,116.8000572
29-10-2010,Stock 1,267.5270825,176.777809,444.3048916,163.915674,189.9294051,964.3631717,-328.9957532,0,1063264,117.7416973
30-11-2010,Stock 1,386.1413908,811.8241229,1197.965514,568.3269594,733.564094,241.9425758,40.70964222,8.594051203,1099820,116.0616595
31-12-2010,Stock 1,855.8973129,635.2029225,1491.100235,908.7929305,752.0908495,528.8719626,50.98392722,14.27598984,1065330,115.8779001
31-01-2011,Stock 1,915.1386609,192.861297,1107.999958,416.844008,453.9597421,982.5381168,186.5190319,53.40184573,1089277,116.6703362
28-02-2011,Stock 1,651.5356879,166.0319095,817.5675973,380.6650875,385.8921717,835.1692528,99.73213173,22.13896679,1064619,117.3684457
31-03-2011,Stock 1,473.5132158,123.4260643,596.9392801,298.1729762,260.0470178,745.8608497,112.0548716,27.5624349,1071482,117.8667972
29-04-2011,Stock 1,948.0486196,561.9118848,1509.960504,1065.375333,922.4553919,757.2243497,-223.9278528,0,1095366,118.6895203
31-05-2011,Stock 1,545.1506286,548.4635266,1093.614155,795.039056,932.7951726,103.2333575,-37.17375354,0,1093371,118.1526743
30-06-2011,Stock 1,350.1402476,362.0355653,712.1758129,388.3567199,320.4281593,960.4049693,-316.2799864,0,1043975,117.1820637
29-07-2011,Stock 1,529.6906564,546.820762,1076.511418,507.7156062,407.606675,121.6324899,-58.26951241,0,1026426,115.7971416
31-08-2011,Stock 1,104.0137493,725.4428307,829.45658,509.393371,486.0794325,214.5772567,76.4573274,17.65517081,1062742,114.9171101
30-09-2011,Stock 1,341.4666545,905.9651311,1247.431786,841.1971933,890.3352818,159.3041363,54.93569085,11.76824658,1057179,115.6376099
31-10-2011,Stock 1,434.9767747,678.5053047,1113.482079,685.7418953,582.2119474,943.6183233,365.6747237,73.41666204,1085489,116.5639409
30-11-2011,Stock 1,618.7468112,782.9771986,1401.72401,424.3836906,483.1952671,496.3648095,42.67393725,12.63835407,1001878,118.4228389
30-12-2011,Stock 1,327.9716493,566.2860387,894.257688,489.1114486,612.3833193,634.4887442,123.0021422,32.74556291,1058149,119.5480891
31-01-2012,Stock 1,400.4724633,392.7162152,793.1886785,573.608805,467.5159138,829.0240674,239.7603721,58.08188958,1047295,120.6012651
29-02-2012,Stock 1,170.4151533,438.7031708,609.1183241,406.4899191,527.3615261,496.1128971,-48.28026991,0,1063593,122.4487204
30-03-2012,Stock 1,668.3002556,300.5607414,968.860997,389.1396113,395.7032798,948.2610635,-2.932361153,0,1078817,122.3139727
30-04-2012,Stock 1,328.5101687,924.7864548,1253.296623,1002.34725,898.1822115,981.9312566,388.3438845,113.6121843,1025290,121.827224
31-05-2012,Stock 1,671.9177405,369.9561047,1041.873845,347.2075652,293.8780875,907.6389083,-382.6373138,0,1043414,123.5655835
29-06-2012,Stock 1,680.9091904,932.9753662,1613.884557,847.4788243,1083.152119,637.7962495,-253.0104204,0,1085027,122.7361506
31-07-2012,Stock 1,502.9348768,539.7626573,1042.697534,711.9538995,886.16685,657.287963,254.2934011,71.76913003,1056372,121.2024293
31-08-2012,Stock 1,913.8568963,372.6077419,1286.464638,605.8650821,512.2781375,667.0309248,-33.81896997,0,1026241,121.9016029
28-09-2012,Stock 1,829.3250939,311.0720701,1140.397164,669.8727244,637.2394792,217.0549932,80.39928841,19.2331817,1053638,121.7853041
31-10-2012,Stock 1,140.0921165,145.5645808,285.6566974,210.8556523,179.9512372,997.3756939,-171.5475341,0,1065877,122.4803036
30-11-2012,Stock 1,626.4050158,325.0163458,951.4213615,520.7376992,527.625079,893.8954589,141.1741414,37.42370224,1023157,121.5843642
31-12-2012,Stock 1,384.736638,305.2950645,690.0317025,229.8135659,213.6758458,322.3880326,-26.63042272,0,1002354,122.1030027
31-01-2013,Stock 1,633.2202151,291.9413619,925.161577,285.1619391,354.371686,412.8855658,135.0628855,40.47678751,1026182,121.9152837
28-02-2013,Stock 1,420.1770469,525.163916,945.3409629,633.1982731,815.2575219,485.5473027,-0.225972358,0,1002129,122.6208464
29-03-2013,Stock 1,792.5079378,189.7107389,982.2186767,658.3217929,697.9529867,953.581149,26.21852962,6.473887399,1019406,122.320569
30-04-2013,Stock 1,662.377043,978.5134916,1640.890535,1053.077192,949.3796334,648.6781635,-118.8789599,0,1049750,122.2401479
31-05-2013,Stock 1,761.7549266,946.5891156,1708.344042,535.2154816,686.1408874,657.3875608,125.5115492,31.61790733,1052076,121.7695641
28-06-2013,Stock 1,491.7876562,319.0625044,810.8501606,260.1693344,250.1070278,179.8055169,82.9477228,22.18468282,1055198,122.1842173
31-07-2013,Stock 1,892.9160379,830.3040317,1723.22007,1266.004729,1218.542973,870.188511,154.3259809,38.20266244,1000753,123.3731992
30-08-2013,Stock 1,406.7373346,122.0541415,528.7914761,388.6892097,329.9145601,226.0837821,-108.0851265,0,1054854,124.6205776
30-09-2013,Stock 1,735.6356327,967.9357526,1703.571385,675.805083,614.8129384,164.084541,-70.41910749,0,1075451,123.854673
31-10-2013,Stock 1,538.6694998,161.8725022,700.5420019,439.4577827,557.7346565,200.8532572,-5.214620044,0,1026495,123.0176634
29-11-2013,Stock 1,414.9237021,562.7966203,977.7203224,488.7161929,586.7056491,235.4965236,0.726972272,0.163148162,1070594,121.8990389
31-12-2013,Stock 1,899.7271906,154.5275037,1054.254694,414.5044486,401.8153478,542.4500127,-36.78431627,0,1009752,121.745175
31-01-2014,Stock 1,253.2872722,155.8546407,409.1419129,300.8320348,377.2099027,954.2017134,186.6113699,43.35715766,1051931,120.7162577
28-02-2014,Stock 1,512.2122362,864.4666829,1376.678919,915.2605576,1104.471043,353.2647047,155.7924128,42.72170334,1069649,121.3590748
31-03-2014,Stock 1,197.2349993,452.519022,649.7540213,481.531243,620.3545059,550.2129346,217.4384937,50.88665637,1014948,122.5510058
30-04-2014,Stock 1,589.453803,466.1181079,1055.571911,732.2297235,612.2448696,209.6341874,15.90111122,3.617969844,1016093,124.072324
30-05-2014,Stock 1,401.6059178,246.9878585,648.5937763,505.3206504,507.3990182,169.1673785,-2.946618886,0,1007523,125.2167624
30-06-2014,Stock 1,463.7788812,418.7425223,882.5214035,562.7440833,507.865899,165.2016849,25.33369359,6.887845916,1001122,125.1869766
31-07-2014,Stock 1,853.9810376,657.1023499,1511.083387,998.4807803,1195.810967,451.9633622,33.39108304,8.174670409,1049828,125.9954057
29-08-2014,Stock 1,753.2989,365.5547436,1118.853644,794.1270694,702.9210195,607.802749,-80.66528729,0,1048726,126.5331753
30-09-2014,Stock 1,338.1986508,967.7812962,1305.979947,752.9682039,970.7350241,351.5852833,29.97271092,6.248455032,1040771,126.1583703
31-10-2014,Stock 1,115.4086552,928.2982454,1043.706901,656.8893889,598.8577737,754.6523891,147.4334964,40.8874973,1086813,126.2983338
28-11-2014,Stock 1,599.0060057,263.4103784,862.4163841,273.6902115,244.6797789,965.6207089,-146.2926186,0,1081248,127.5987236
31-12-2014,Stock 1,852.327844,832.1275378,1684.455382,542.4583071,502.215443,531.3167688,-243.3691441,0,1067369,127.2008682
30-01-2015,Stock 1,181.4502117,966.2445995,1147.694811,429.5146525,428.9300516,458.5367828,-72.92375073,0,1077456,126.0621392
27-02-2015,Stock 1,953.038726,978.4401153,1931.478841,762.8071635,781.5560257,120.5452227,-33.0437257,0,1081291,125.2710932
31-03-2015,Stock 1,741.6881802,961.3115052,1702.999685,1151.23268,1230.355476,568.6747873,178.6663876,36.07946907,1065648,124.4414615
30-04-2015,Stock 1,282.4805757,830.3173412,1112.797917,781.2876866,747.0144823,330.2187421,-39.43044472,0,1093016,125.029381
29-05-2015,Stock 1,398.6863216,695.0153896,1093.701711,629.9823427,545.6155495,121.3500789,49.28383314,13.71459067,1053876,124.8996517
30-06-2015,Stock 1,501.7534489,611.311114,1113.064563,547.43687,695.061978,310.2380354,35.68653592,7.655442259,1013144,126.0976768
31-07-2015,Stock 1,626.0943876,205.9523926,832.0467802,285.9394492,291.3006699,550.4363797,172.8956909,35.06827026,1058608,126.7272249
31-08-2015,Stock 1,783.8244548,680.1257084,1463.950163,707.3594623,694.5664571,195.067458,-87.06267429,0,1007706,127.6515812
30-09-2015,Stock 1,219.1066641,737.7748509,956.881515,501.515121,486.1200511,158.787417,-28.84091511,0,1083890,127.0823298
30-10-2015,Stock 1,104.2590004,472.0216583,576.2806587,204.1471821,220.7630754,881.9490164,-191.1621847,0,1064555,126.5470983
30-11-2015,Stock 1,755.7385524,430.6416825,1186.380235,490.0926369,504.1869045,541.9940385,141.6314178,42.13802816,1033364,125.3105929
31-12-2015,Stock 1,881.5639633,504.6757059,1386.239669,422.5838662,546.7079529,653.0643109,198.7221467,58.80096198,1004341,125.9026381
29-01-2016,Stock 1,486.418055,156.2023404,642.6203954,288.2299586,273.423926,434.1111197,-33.16227273,0,1071131,126.9184841
29-02-2016,Stock 1,436.0707146,258.2112257,694.2819403,261.6677086,337.2557103,612.9992702,-52.32433636,0,1010317,126.5734867
31-03-2016,Stock 1,165.0371414,878.550346,1043.587487,647.5685375,541.6207953,987.5871922,103.1593064,25.71047111,1082843,125.5895659
29-04-2016,Stock 1,906.6727084,442.6003082,1349.273017,1071.535757,914.4839948,881.771277,-103.1839224,0,1009867,126.408821
31-05-2016,Stock 1,789.8548507,507.8283455,1297.683196,640.1808595,522.0257779,929.3746446,-44.30279066,0,1056019,126.1580797
30-06-2016,Stock 1,333.0646261,592.494242,925.5588681,364.4402458,298.6214928,706.1145426,-75.18478203,0,1018547,125.9047814
29-07-2016,Stock 1,573.4178974,565.7176039,1139.135501,739.2805406,901.4417836,183.1523299,43.75759532,8.895673568,1044375,125.6288188
31-08-2016,Stock 1,326.7055509,375.8139581,702.519509,502.8290813,471.1483764,206.6167152,-60.31408629,0,1025885,125.9251575
30-09-2016,Stock 1,203.9802296,794.92535,998.9055796,578.2442375,661.232661,307.7347636,143.8903359,38.22020751,1077720,125.4148947
31-10-2016,Stock 1,771.2395585,502.4707602,1273.710319,574.0831048,632.1950139,279.5167098,-2.292924907,0,1021672,126.4249822
30-11-2016,Stock 1,733.76328,985.34288,1719.10616,1335.469155,1346.715899,857.355324,-303.2315734,0,1056367,126.2615497
30-12-2016,Stock 1,686.5770856,214.1855644,900.76265,564.1991266,495.9223518,959.8157945,-27.57374494,0,1076454,125.1155518
31-01-2017,Stock 1,905.4655592,193.7361046,1099.201664,508.5762086,574.056508,830.8069905,381.724019,90.23339063,1023217,124.3028129
28-02-2017,Stock 1,603.556814,275.9268004,879.4836145,546.5787193,465.5516439,402.6511148,92.05836459,20.31825321,1088367,125.0613726
31-03-2017,Stock 1,710.9540032,358.9339988,1069.888002,597.1972057,486.664759,869.7235326,-418.3782692,0,1019805,126.1336208
28-04-2017,Stock 1,435.3677083,727.8412334,1163.208942,454.4509848,557.7074622,949.0888561,-407.8219997,0,1071934,124.9772395
31-05-2017,Stock 1,262.9281445,747.2798036,1010.207948,437.0527134,556.6969974,260.0825221,51.33971956,13.95187368,1037115,122.9510501
30-06-2017,Stock 1,776.1367829,226.0224064,1002.159189,423.1758425,492.8486579,609.825134,122.461053,28.15823577,1029445,122.9389145
31-07-2017,Stock 1,504.0947001,955.1229098,1459.21761,1083.426267,916.0711055,236.4928721,-76.50283238,0,1031232,123.260215
31-08-2017,Stock 1,996.0501548,342.1716477,1338.221803,1007.62975,977.9691736,108.8142526,-0.754675722,0,1011167,122.9590891
29-09-2017,Stock 1,244.3238039,974.7124021,1219.036206,611.7936817,532.4496198,418.4368772,-166.2410602,0,1062542,122.3909906
31-10-2017,Stock 1,186.5919011,127.232722,313.8246231,96.20679265,97.60502164,615.1178545,244.7975128,58.54127603,1028697,121.5652998
30-11-2017,Stock 1,962.1856739,144.6725217,1106.858196,407.6342815,490.8582333,638.2440851,29.35862506,6.264179599,1065765,123.1913777
29-12-2017,Stock 1,311.28501,220.7003996,531.9854096,403.280864,338.0179134,325.4904664,-84.37223058,0,1069950,123.1543872
31-01-2018,Stock 1,158.664264,749.5332884,908.1975524,623.042291,559.9704266,620.8340555,144.8386807,42.83277064,1079078,122.5622111
28-02-2018,Stock 1,915.79462,901.3085715,1817.103192,818.629639,779.6217244,761.4489045,336.0430805,87.93143747,1059219,123.7199216
30-03-2018,Stock 1,259.9160324,525.8570063,785.7730387,601.8600167,575.5225875,424.5878144,-187.3650195,0,1043292,125.5477196
30-04-2018,Stock 1,957.2453016,207.5405932,1164.785895,566.2280584,702.3033076,940.7640024,-113.8186871,0,1066183,125.0700573
31-05-2018,Stock 1,777.5881405,597.7508192,1375.33896,471.0474138,603.0455533,152.8824571,21.17163129,4.945526652,1071475,123.5874492
29-06-2018,Stock 1,731.6992806,856.1717948,1587.871075,1225.548959,1430.49352,370.2261019,-91.49100571,0,1097805,123.3739343
31-07-2018,Stock 1,390.3504455,172.1684083,562.5188538,413.8935124,508.1926617,954.0482984,-168.8835747,0,1046521,122.5084229
31-08-2018,Stock 1,942.616474,609.9207887,1552.537263,661.9768734,715.8898021,936.5857631,88.76947898,19.08440269,1022653,120.8956085
28-09-2018,Stock 1,418.5968267,584.8910967,1003.487923,774.9018977,859.1111709,791.4557482,139.5374707,32.38348665,1012494,120.8172165
31-10-2018,Stock 1,238.0056615,788.4008112,1026.406473,583.2438943,719.9778386,533.6217018,-257.2966347,0,1088180,121.5412534
30-11-2018,Stock 1,806.2558494,637.4882205,1443.74407,636.300679,561.6408124,680.7402159,-72.79616183,0,1046014,120.3802968
31-12-2018,Stock 1,737.2211441,718.3653395,1455.586484,619.734902,690.9811334,199.451368,-12.16926158,0,1074004,119.6873706
31-07-2006,Stock 2,155.6869701,166.1983998,321.8853698,146.8187695,179.8422183,587.7945817,265.7048571,78.72637963,1088613,100
31-08-2006,Stock 2,449.520225,724.6280522,1174.148277,697.8440894,800.3642742,914.5910851,140.184353,37.6189492,1043062,102.3426902
29-09-2006,Stock 2,772.3298072,122.5485559,894.8783631,676.5688429,640.7158354,104.1083521,-44.77238805,0,1009202,103.6141145
31-10-2006,Stock 2,207.8979524,556.4033429,764.3012953,375.4329246,322.4531207,875.8172142,-44.1141474,0,1016776,102.783715
30-11-2006,Stock 2,345.829482,621.0273225,966.8568045,701.9906273,834.3417597,468.9126059,-78.66217073,0,1040182,102.4313058
29-12-2006,Stock 2,218.600169,425.9325674,644.5327363,500.1067261,492.420805,521.9896734,52.75834208,11.71493384,1070538,101.7168386
31-01-2007,Stock 2,228.0020355,860.1041837,1088.106219,803.1141322,862.9076585,175.033049,-27.84120931,0,1046353,102.061719
28-02-2007,Stock 2,152.628433,689.0937443,841.7221773,524.7156803,611.2721088,795.0446999,355.5500905,71.67808357,1041092,101.7912528
30-03-2007,Stock 2,181.4218666,293.3164021,474.7382686,345.5731183,390.2115945,863.6330834,132.5659643,26.7966567,1029888,102.9485512
30-04-2007,Stock 2,411.3648072,590.8677665,1002.232574,722.4188209,872.2023162,745.8319911,215.4813008,59.9577047,1016382,103.9843787
31-05-2007,Stock 2,513.6575778,709.6184594,1223.276037,791.3346277,792.4586601,811.1476601,291.220787,78.86883162,1032150,105.2016917
29-06-2007,Stock 2,759.2030519,368.7578257,1127.960878,683.9686125,550.9293983,770.2682715,202.5258211,47.73631827,1047534,106.7889817
31-07-2007,Stock 2,290.2949812,943.4760611,1233.771042,725.8925148,747.6496322,402.4890458,99.07241551,22.65461963,1019669,108.3220034
31-08-2007,Stock 2,261.8407283,458.11798,719.9587083,425.501683,411.3551055,496.0449334,-1.349590479,0,1029656,109.5275018
28-09-2007,Stock 2,559.4768096,563.7968532,1123.273663,858.0860136,724.3907371,646.7915643,-94.72490121,0,1027981,109.7467065
31-10-2007,Stock 2,619.7482199,148.1409596,767.8891795,341.0784473,398.3491986,396.2391887,116.2746911,26.98329718,1082687,109.4951701
30-11-2007,Stock 2,315.3974842,520.6550439,836.0525281,634.4931082,594.9590617,183.3119188,87.33956715,21.60397259,1053906,109.7200132
31-12-2007,Stock 2,833.5477589,472.1861162,1305.733875,882.4214245,890.7429804,447.4717355,-189.839014,0,1082728,110.8519259
31-01-2008,Stock 2,312.5389212,653.0319424,965.5708635,319.7590236,390.8449197,402.4068846,-179.8678007,0,1009506,110.1919667
29-02-2008,Stock 2,646.7645588,172.7558733,819.5204321,565.9032801,504.2795094,482.956891,125.120501,29.12788294,1039087,108.8872759
31-03-2008,Stock 2,873.5243249,544.2361715,1417.760496,533.3520541,505.2083365,613.4585782,-42.71635608,0,1020062,109.1352344
30-04-2008,Stock 2,664.3688674,462.4606366,1126.829504,806.0568527,982.1627919,889.5940303,-224.2480095,0,1035677,108.8457294
30-05-2008,Stock 2,511.8674013,684.4728571,1196.340258,678.054687,802.2945698,622.2685106,154.903487,33.34843696,1094930,107.6615462
30-06-2008,Stock 2,465.9477955,566.1752664,1032.123062,816.0197185,762.0803368,947.929067,297.8125133,71.83697261,1062513,107.9194307
31-07-2008,Stock 2,566.8000753,472.2665841,1039.066659,655.4324721,681.7599526,778.6581979,291.7339644,80.60341534,1037624,109.2629742
29-08-2008,Stock 2,591.1170592,525.1804143,1116.297474,721.198122,810.2969069,844.4989037,-174.4369046,0,1004449,110.9110182
30-09-2008,Stock 2,218.8457565,338.17419,557.0199465,375.3977609,443.5331049,437.0080629,-136.3904419,0,1094696,110.5352293
31-10-2008,Stock 2,179.8603426,580.7947607,760.6551034,505.5482089,532.0122598,984.6965137,202.2204103,51.80082697,1058556,109.4156147
28-11-2008,Stock 2,279.3449807,185.8526113,465.197592,340.752612,341.093324,193.7530134,28.97260249,8.483878934,1007750,110.1336214
31-12-2008,Stock 2,826.4207895,522.757993,1349.178783,775.8463305,1007.285836,932.0444856,-249.6315737,0,1042543,110.9886017
30-01-2009,Stock 2,609.8585749,524.1016156,1133.96019,653.296438,713.0815716,371.4190524,135.0850449,38.33000112,1054158,110.0351573
27-02-2009,Stock 2,565.0085909,710.7184004,1275.726991,570.6253667,474.974689,940.7444294,-451.7635518,0,1091798,110.6401888
31-03-2009,Stock 2,844.1074796,117.1492117,961.2566913,375.1488606,311.6304793,917.9915181,317.0988812,85.70383215,1023500,109.6736259
30-04-2009,Stock 2,502.1689123,231.241214,733.4101264,351.7346252,451.6482997,523.9559495,-134.9004623,0,1070980,110.2446359
29-05-2009,Stock 2,221.3817543,212.309473,433.6912273,154.9165963,172.7763642,305.1108059,36.25613085,8.716679043,1050699,109.2675346
30-06-2009,Stock 2,237.7685679,976.3492315,1214.117799,573.6691782,718.5505425,560.6650641,54.37784743,13.93863269,1014658,109.4270079
31-07-2009,Stock 2,265.6335295,236.1158084,501.7493379,304.3199915,346.8708534,618.9338056,131.942716,32.08253121,1043613,109.9037013
31-08-2009,Stock 2,832.4515773,929.5240933,1761.975671,1203.269423,1355.536316,779.1309696,-369.0093779,0,1024727,110.8365484
30-09-2009,Stock 2,553.4073162,240.1462775,793.5535937,493.220494,563.6005141,983.5888036,-268.7891991,0,1007758,109.8177098
30-10-2009,Stock 2,412.4759755,645.6866227,1058.162598,391.4102036,350.2899895,435.2282502,-88.76280717,0,1049483,108.1473906
30-11-2009,Stock 2,974.6854503,175.6098449,1150.295295,372.4547722,371.4929232,451.7931851,222.5108641,66.43329719,1073186,107.269443
31-12-2009,Stock 2,753.4773302,158.1529841,911.6303143,483.1247684,572.167192,605.7017327,73.44563168,21.54747383,1062551,107.7558342
29-01-2010,Stock 2,544.438704,481.3496111,1025.788315,629.4039548,807.962905,356.4795588,-154.2174092,0,1005143,108.0165412
26-02-2010,Stock 2,358.4905353,780.2108274,1138.701363,712.225111,708.9316761,813.6566235,-160.1231065,0,1061092,106.96368
31-03-2010,Stock 2,287.3407382,883.9195255,1171.260264,651.5747559,815.8100596,227.7472108,-23.49176116,0,1044744,106.0514307
30-04-2010,Stock 2,303.1295961,780.6520409,1083.781637,345.1738162,377.2600655,911.0478224,-395.303858,0,1055780,105.2935368
31-05-2010,Stock 2,621.4623427,721.0317742,1342.494117,895.8942011,950.3930443,488.5705708,-178.1448415,0,1056008,103.7690056
30-06-2010,Stock 2,685.5901789,552.0502213,1237.6404,463.0600385,591.5824488,865.7861238,-258.4966049,0,1036857,102.4923976
30-07-2010,Stock 2,402.9336011,923.8011202,1326.734721,470.5618379,391.2047033,854.0462076,380.7789243,89.78595594,1005474,100.9888765
31-08-2010,Stock 2,256.7642513,567.3614637,824.125715,257.4375349,232.0851932,803.0653353,-295.711065,0,1069049,102.0740041
30-09-2010,Stock 2,995.247237,868.962318,1864.209555,1291.910394,1418.873461,224.8079284,100.7005181,28.66515703,1059291,101.4791367
